CreationTime,AuthenticateCount,ActiveCount,DisconnectCount,CPUUtil,MemoryUsed,MemoryFree,TempMin,TempMax,TempAvg,InBandwidth,OutBandwidth,InTotalPPS,OutTotalPPS
2018-08-02 11:00:00,5.0,15188.0,6.0,22.0,1592920000.0,5661452000.0,33.0,59.0,44.8,569523880.6383481,683647932.6755282,681799.3460570037,815730.309835295
2018-08-02 11:15:00,1.0,15281.0,3.0,23.0,1594836000.0,5659536000.0,33.0,59.0,45.0,577553158.8781865,691279685.0202494,693024.979710714,826782.6386449086
2018-08-02 11:30:00,0.0,15380.0,3.0,21.0,1591508000.0,5662864000.0,34.0,59.0,45.3,575177925.223832,687986321.7112317,690407.7774387095,821836.5143167798
2018-08-02 11:45:00,4.0,15370.0,9.0,31.0,1592108000.0,5662264000.0,33.0,59.0,45.1,592300256.1322547,705405795.0611138,710470.5846284977,842883.0717808944
2018-08-02 12:00:00,1.0,15495.0,2.0,23.0,1593132000.0,5661240000.0,33.0,58.0,44.7,590612895.3365858,703769685.2322606,711129.2403422775,844603.7658366178
2018-08-02 12:15:00,2.0,15479.0,2.0,23.0,1592300000.0,5662072000.0,33.0,58.0,44.9,594701308.4196911,708277798.5422937,719854.0195736567,854474.8241408406
2018-08-02 12:30:00,5.0,15513.0,1.0,23.0,1592292000.0,5662080000.0,33.0,59.0,45.1,586967538.4893345,701535793.5950974,711278.4153549678,847714.4067362509
2018-08-02 12:45:00,3.0,15591.0,8.0,21.0,1591016000.0,5663356000.0,33.0,59.0,45.4,576261606.5586879,689240772.1291512,697271.4620899749,830938.4755179759
2018-08-02 13:00:00,5.0,15526.0,5.0,22.0,1591204000.0,5663168000.0,32.0,59.0,45.3,593306097.6948928,707256784.9165826,715345.138781658,849086.8257982618
2018-08-02 13:15:00,6.0,15549.0,3.0,24.0,1596820000.0,5657552000.0,32.0,59.0,45.0,585325991.6531065,700228534.9128793,705636.2613074023,840542.304513597
2018-08-02 13:30:00,4.0,15714.0,1.0,23.0,1593772000.0,5660600000.0,34.0,59.0,45.6,589082611.8473468,703432615.3949186,711424.4256864497,846489.9239654138
2018-08-02 13:45:00,1.0,15719.0,1.0,22.0,1592788000.0,5661584000.0,34.0,59.0,45.6,569611205.5517303,684089746.9660245,686961.6904969746,821264.3578087542
2018-08-02 14:00:00,3.0,15775.0,5.0,25.0,1594300000.0,5660072000.0,32.0,59.0,45.4,570013620.0026958,684355870.9659389,684363.6064968883,818550.918590658
2018-08-02 14:15:00,4.0,15581.0,6.0,24.0,1594160000.0,5660212000.0,33.0,59.0,45.6,562749877.6092584,677042882.4958646,675293.1271841621,809095.6926005237
2018-08-02 14:30:00,4.0,15594.0,1.0,23.0,1591744000.0,5662628000.0,32.0,59.0,45.5,552507263.7182982,665377746.9112253,662851.4237228818,788861.5272864972
2018-08-02 14:45:00,1.0,15570.0,7.0,23.0,1593272000.0,5661100000.0,33.0,59.0,45.4,607587287.7032135,721416401.4066333,722492.1388149995,854299.6619838139
2018-08-02 15:00:00,4.0,15299.0,3.0,24.0,1603192000.0,5651180000.0,33.0,59.0,45.6,625057833.1765121,738720572.5899723,745106.5434061597,876372.5344079604
2018-08-02 15:15:00,7.0,15475.0,3.0,22.0,1598012000.0,5656356000.0,33.0,59.0,45.4,633894085.8457681,746389248.6749225,754824.8188189372,885262.4438676927
2018-08-02 15:30:00,10.0,15450.0,2.0,23.0,1592360000.0,5662008000.0,33.0,59.0,45.4,668370861.811108,781606829.6489168,792303.6674214817,922982.8464213357
2018-08-02 15:45:00,4.0,15483.0,7.0,21.0,1592352000.0,5662016000.0,33.0,59.0,45.7,686837617.6336807,799069785.7581363,810731.5530092117,939940.7436109858
2018-08-02 16:00:00,3.0,15466.0,5.0,38.0,1592860000.0,5661508000.0,33.0,59.0,45.6,686092603.690213,799355068.4203516,807036.1814838003,936578.3529000023
2018-08-02 16:15:00,6.0,15206.0,6.0,21.0,1591536000.0,5662832000.0,34.0,59.0,45.7,652802960.0887363,767199222.1980906,769696.5617849287,900633.8434154117
2018-08-02 16:30:00,5.0,15212.0,6.0,21.0,1592300000.0,5662068000.0,33.0,59.0,45.6,657875134.4550695,772788232.6181855,773302.7832823548,904884.5035851714
2018-08-02 16:45:00,4.0,15118.0,3.0,23.0,1592068000.0,5662300000.0,32.0,59.0,45.4,647139620.3724722,761445895.6176502,762365.72987452,893291.0202662313
2018-08-02 17:00:00,3.0,14818.0,4.0,22.0,1591564000.0,5662804000.0,32.0,60.0,45.8,653658435.0089005,768250100.3543513,768044.2469058865,898823.9475899423
2018-08-02 17:15:00,8.0,14771.0,8.0,22.0,1591092000.0,5663276000.0,34.0,60.0,46.6,643030681.9778349,757517365.763734,757041.0436584871,887846.3552852537
2018-08-02 17:30:00,2.0,14654.0,3.0,21.0,1589636000.0,5664732000.0,35.0,59.0,46.2,649414638.6557932,762338673.852565,765031.3466487646,894489.886422778
